team,avg_DTDP,avg_CDEM,avg_CDEM_basic,avg_CDEM_detailed,optimal_play_pct_basic,optimal_play_pct_detailed,total_touchdowns,total_plays,avg_epa,success_rate,avg_yards_gained,DTDP_vs_hist,CDEM_vs_hist,optimal_basic_vs_hist,optimal_detailed_vs_hist,efficiency_index,efficiency_rank,CDEM_rank,DTDP_rank
BAL,0.5705554258292937,40.07789477966145,46.6954404891665,35.66619763999141,0.36683417085427134,0.09045226130653267,55.0,199,0.2638207777659315,0.5226130653266332,3.4111675126903553,0.014675474106793152,1.135355212543459,-0.03731709655155985,-0.00791635033344193,0.4045942397690161,1,4,6
CHI,0.5715147512824426,40.784468769341764,50.443931138646704,34.34482718980514,0.49044585987261147,0.08917197452229299,23.0,157,0.07790585341870754,0.445859872611465,2.3184713375796178,0.01563479955994196,1.841929202223774,0.08629459246678028,-0.009196637117681608,0.3946809585833665,2,1,5
BUF,0.5382854533185303,39.6187634063436,47.30738906731887,34.49301296569342,0.4007352941176471,0.08823529411764706,55.0,272,0.18182843747139618,0.5183823529411765,2.7047970479704797,-0.017594498403970316,0.6762238392256066,-0.0034159732881841043,-0.010133317522327531,0.39195803610584024,3,5,25
DEN,0.5492721672113997,40.26823032126855,47.603142180489435,35.378289081787955,0.42408376963350786,0.1256544502617801,36.0,191,0.0921505804110261,0.49214659685863876,2.7853403141361257,-0.006607784511100889,1.325690754150557,0.019932502227676674,0.027285838621805503,0.38869649873004297,4,3,21
TB,0.5730415571026735,39.55520329643335,46.77205591374354,34.74396821822654,0.3933649289099526,0.0947867298578199,47.0,211,0.12572380294837596,0.5497630331753555,3.1658767772511847,0.017161605380172862,0.6126637293153578,-0.010786338495878567,-0.003581881782154697,0.37856379434700205,5,6,4
KC,0.5477226078167858,40.42743753005992,47.526463536462565,35.6947535257915,0.42700729927007297,0.13138686131386862,42.0,274,0.022741992065053125,0.5109489051094891,2.4191176470588234,-0.008157343905714765,1.484897962941929,0.022856031864241788,0.03301824967389402,0.37537581572685297,6,2,22
CIN,0.5361388837206527,39.24073447336812,46.67911522467459,34.28181397249714,0.3943089430894309,0.08536585365853659,39.0,246,0.10640746689703498,0.508130081300813,2.3495934959349594,-0.01974106800184794,0.29819490625013145,-0.009842324316400308,-0.013002757981438004,0.3708794961491956,7,7,27
DET,0.5560562116576444,39.103763045127394,46.66288795425965,34.064346439039234,0.39114391143911437,0.07749077490774908,54.0,271,0.10552541649345361,0.4944649446494465,3.029520295202952,0.00017625993514380767,0.16122347800940418,-0.013007355966716816,-0.020877836732225513,0.3674362067674033,8,9,16
CAR,0.5513670403186179,38.99746008360957,45.88424972447857,34.406266989696896,0.3829787234042553,0.09042553191489362,31.0,188,0.06567803200972791,0.4521276595744681,2.6861702127659575,-0.004512911403882658,0.05492051649157759,-0.021172544001575866,-0.007943079725080973,0.3590469075370571,9,12,18
LAC,0.5516508265567505,39.02446290150399,45.99938758609602,34.374513111775954,0.3967391304347826,0.11413043478260869,27.0,184,0.023720495982865776,0.45108695652173914,1.891304347826087,-0.004229125165750136,0.08192333438599775,-0.0074121369710485885,0.015761823142634093,0.358810410054939,10,11,17
ARI,0.5281662975163728,38.548343191360274,45.35696833393651,34.009259762976114,0.3717277486910995,0.08376963350785341,32.0,191,0.06640356174002915,0.49214659685863876,2.8534031413612566,-0.027713654206127813,-0.3941963757577156,-0.0324235187147317,-0.014598978132121188,0.3531659664518352,11,15,31
IND,0.5663797771281716,39.05751355456583,47.573647174491455,33.38009114128207,0.43842364532019706,0.08866995073891626,28.0,203,-0.02303708111809818,0.43842364532019706,2.206896551724138,0.01049982540567096,0.11497398744783993,0.03427237791436588,-0.009698660901058337,0.3521753622582591,12,10,10
SF,0.5513425798798256,38.878680064139694,46.03367899374821,34.108680777734016,0.38839285714285715,0.09375,36.0,224,0.02438473553197189,0.48214285714285715,2.924107142857143,-0.004537371842674998,-0.06385950297829623,-0.015758410262974032,-0.004618611639974596,0.35127201387719315,13,13,19
WAS,0.5423785087744544,37.60630260653504,42.91760178095279,34.06543649025654,0.3010033444816054,0.07692307692307693,52.0,299,0.12001131680585299,0.48494983277591974,2.682274247491639,-0.013501442948046227,-1.3362369605829514,-0.10314792292422581,-0.02144553471689767,0.3428660479414276,14,24,23
